ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CP4H,"rhpn1.L, rhpn2.L, rhpn2.S","rhophilin-2-A [Xenopus laevis], rhophilin-2-B [Xenopus laevis], NA","RHPN2P1, RHPN2, RHPN1","Rhophilin, Rho GTPase binding protein"
ENOG411CP4I,"arl14epl.L, arl14epl.S",NA,ARL14EPL,ADP-ribosylation factor-like 14 effector protein-like
ENOG411CP4J,"myh1-2-1.S, myh1-2-1.L, Xelaev18002773m.g, myh8-like.L, myh1-3-1.L, myh1-3-2.L, myh7.L, Xetrov90025700m.L, Xelaev18039828m.g, myh1-3-1.S, myh7.S, myh7B.S, myh7B.L, myh1-2-2.L, myh1-2-2.S","myosin, heavy polypeptide 15 [Xenopus laevis], laryngeal-specific muscle myosin heavy chain [Xenopus laevis], LOC432231 protein [Xenopus laevis], NA","MYH3, MYH7B","myosin, heavy chain"
ENOG411CP4K,"loc101733025.L, loc101732256-like.L, loc101733025.S",NA,SHISAL1,kiaa1644
ENOG411CP4M,"epha3.L, epha4.S, Xelaev18005896m.g, epha3.S, epha5.S","ephrin type-A receptor 4-B [Xenopus laevis], ephrin type-A receptor 4-A precursor [Xenopus laevis], receptor tyrosine kinase [Xenopus laevis], XE10 [Xenopus laevis], NA","EPHA5, EPHA3, EPHA4",Eph receptor
ENOG411CP4N,txndc11.L,NA,TXNDC11,thioredoxin domain containing 11
ENOG411CP4Q,"ralgapa1.S, ralgapa2.L, ralgapa2.S, ralgapa1.L","LOC495705 protein [Xenopus laevis], Unknown (protein for IMAGE:6635590) [Xenopus laevis], NA","RALGAPA1, RALGAPA2","Ral GTPase activating protein, alpha subunit"
ENOG411CP4R,usp14.L,"ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) [Xenopus laevis], NA",USP14,ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)
ENOG411CP4S,"gcat.S, gcat.L","glycine C-acetyltransferase [Xenopus laevis], NA",GCAT,Glycine C-acetyltransferase
ENOG411CP4T,haus8.L,"MGC154317 protein [Xenopus laevis], NA",HAUS8,"HAUS augmin-like complex, subunit 8"
ENOG411CP4U,"top2b-like.L, top2b-like.S","topoisomerase (DNA) II alpha 170kDa [Xenopus laevis], LOC398512 protein [Xenopus laevis], NA","TOP2B, TOP2A",Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks (By similarity)
ENOG411CP4V,"ganab.S, ganab.L, ganc.L","LOC100037025 protein [Xenopus laevis], NA","NA, GANC, GANAB","Glucosidase, alpha"
ENOG411CP4W,"xpot.S, xpot.L",NA,XPOT,"exportin, tRNA"
ENOG411CP4Y,"loc100494811.L, loc100494811.S",NA,NA,ring finger protein 182
ENOG411CP4Z,NA,"uncharacterized protein LOC379647 [Xenopus laevis], pygopus-2beta [Xenopus laevis], pygopus-2alpha [Xenopus laevis]",PYGO2,Pygopus homolog 2 (Drosophila)
ENOG411CP50,NA,PX domain containing serine/threonine kinase [Xenopus laevis],PXK,PX domain containing serine threonine kinase
ENOG411CP51,ctdsp2.S,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 [Xenopus laevis], NA",CTDSP2,"CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
ENOG411CP52,ubac2.L,NA,UBAC2,UBA domain containing 2
ENOG411CP54,"gabrp.L, Xetrov90017646m.L",NA,GABRP,"gamma-aminobutyric acid (GABA) A receptor, pi"
ENOG411CP55,"timm21.L, timm21.S","TIM21-like protein, mitochondrial precursor [Xenopus laevis], NA",TIMM21,translocase of inner mitochondrial membrane 21 homolog (yeast)
ENOG411CP56,"Xelaev18000056m.g, stx3.S","syntaxin 3 [Xenopus laevis], NA",STX3,syntaxin 3
ENOG411CP57,"sh2b1.S, sh2b1.L, sh2b2.L, sh2b2.S",NA,"SH2B1, SH2B2",SH2B adaptor protein
ENOG411CP59,lcmt1.S,"leucine carboxyl methyltransferase 1 [Xenopus laevis], NA",LCMT1,Leucine carboxyl methyltransferase 1
ENOG411CP5A,"Xelaev18001804m.g, bicd1.L, bicd1.S, Xelaev18002564m.g",NA,"BICD1, BICD2",bicaudal D homolog
ENOG411CP5B,"map3k12.S, map3k13.L, map3k12.L","mitogen activated protein kinase kinase kinase 13 type B [Xenopus laevis], mitogen activated protein kinase kinase kinase 12 type A [Xenopus laevis], mitogen activated protein kinase kinase kinase 13 type A [Xenopus laevis], mitogen activated protein kinase kinase kinase 12 type B [Xenopus laevis], Mitogen activated protein kinase kinase kinase 12 type A [Xenopus laevis], NA","MAP3K13, MAP3K12",Mitogen-activated protein kinase kinase kinase
ENOG411CP5D,nkap.L,NA,NA,NFkB activating
ENOG411CP5E,zbtb41.L,NA,ZBTB41,Zinc finger and BTB domain containing 41
ENOG411CP5F,nprl2.S,"nitrogen permease regulator-like 2 [Xenopus laevis], NA",NPRL2,nitrogen permease regulator-like 2 (S. cerevisiae)
ENOG411CP5G,"Xelaev18000405m.g, znf622.L","zinc finger protein 622 [Xenopus laevis], NA",ZNF622,Zinc finger protein 622
ENOG411CP5H,"Xelaev18040893m.g, Xelaev18020683m.g, myo1f.L, myo1f.S, Xelaev18018158m.g","myosin-1e [Xenopus laevis], myosin IF [Xenopus laevis], myosin IE, gene 2 [Xenopus laevis], Myo1e-prov protein [Xenopus laevis], NA","MYO1F, MYO1E",myosin IE
ENOG411CP5I,"prpf31.S, prpf31.L","U4/U6 small nuclear ribonucleoprotein Prp31 [Xenopus laevis], NA",PRPF31,PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)
ENOG411CP5J,NA,"glutathione synthetase [Xenopus laevis], Gssls-A-prov protein [Xenopus laevis]",GSS,glutathione synthetase
ENOG411CP5M,mrps25.S,"LOC100049746 protein [Xenopus laevis], LOC733400 protein [Xenopus laevis], NA",MRPS25,Mitochondrial ribosomal protein S25
ENOG411CP5N,alg8.S,"asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog [Xenopus laevis], NA",ALG8,"Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)"
