accession,eggnogID,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,XL_ID,XL_ID_source,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProtID,HUMAN_GeneNames_Primary,HUMAN_GeneNames_Synonyms,eggNOG_annotation,bait
ENOG411CUGY,ENOG411CUGY,44,44,274,4679047.38671875,8137601368.617189,4071140208.001954,1739.1577165290905,10.764173054878132,0,274,240.93602836128898,7.9125063328393175,16.04878525169437,"115291995, 116487533, Xelaev18045280m.g, Xelaev18047585m.g","GenBank, Xenbase_9.1","dnaaf5.L, dnaaf5.S","LOC496065 protein [Xenopus laevis], MGC154857 protein [Xenopus laevis], NA",Q86Y56,DNAAF5,HEATR2,HEAT repeat containing 2,heatr2
ENOG411CWA4,ENOG411CWA4,48,48,110,47956902.982421905,76624952.24609381,62290927.61425786,1.5977877527700208,0.6760757759984977,31,79,2.1903275305571728,1.131146619314658,3.9757780200390913,"152012986, Xelaev18010449m.g, Xelaev18007546m.g","GenBank, Xenbase_9.1","gcn1.S, gcn1.L","LOC100125671 protein [Xenopus laevis], NA",Q92616,GCN1,GCN1L1 KIAA0219,GCN1 general control of amino-acid synthesis 1-like 1 (Yeast),heatr2
ENOG411CTH9,ENOG411CTH9,28,28,71,31488537.683593802,80443076.06640631,55965806.87500006,2.5546780506202693,1.353141489190417,17,54,2.6770669817920996,1.4206532365096427,3.936817113245228,"148222118, 148223037, 28302264, Xelaev18021791m.g","GenBank, Xenbase_9.1",ipo7.L,"importin 7 [Xenopus laevis], uncharacterized protein LOC431890 [Xenopus laevis], MGC52556 protein [Xenopus laevis], NA","O95373, O15397","IPO7, IPO8","RANBP7, RANBP8",importin,heatr2
ENOG411CSRQ,ENOG411CSRQ,22,22,66,54923676.9375,120689404.7109375,87806540.82421875,2.197402130383134,1.1357989109180724,17,49,2.4336972561746357,1.2831497127597076,3.4881275634993876,"148231173, Xelaev18012175m.g, Xelaev18015003m.g","GenBank, Xenbase_9.1","ipo9.L, ipo9.S","importin 9 [Xenopus laevis], NA",Q96P70,IPO9,IMP9 KIAA1192 RANBP9,Importin 9,heatr2
Xelaev18037980m.g,Xelaev18037980m.g,19,19,34,6026894.32421875,16774566.6796875,11400730.501953125,2.7832853501810724,1.47678882537361,6,28,3.629685622066171,1.8598445974972633,3.4878358821538757,NA,Xenbase_9.1,ubr4.S,NA,NA,NA,NA,NA,heatr2
ENOG411CTE0,ENOG411CTE0,7,7,10,2041349.1640625,4403742.265625,3222545.71484375,2.157270467567189,1.1092070655832538,0,10,9.637441134451558,3.2686501430645927,3.0533160675262443,"Xelaev18011101m.g, Xelaev18018200m.g, Xelaev18008453m.g, Xelaev18018199m.g, Xelaev18020637m.g",Xenbase_9.1,"myo5b.S, myo5c.L, myo5b.L, myo5a-like.L, myo5a-like.S",NA,"Q9Y4I1, Q9ULV0, K7EPI3, Q9NQX4","MYO5A, MYO5B, NA, MYO5C","MYH12, KIAA1119, NA","Myosin VA (Heavy chain 12, myoxin)",heatr2
ENOG411CYEZ,ENOG411CYEZ,16,16,27,3037044.4296875,7779011.53125,5408027.98046875,2.561375610843609,1.356918831290238,5,22,3.3585022135209974,1.747817979763152,3.0134321338603622,"147903659, 147904074, 148223613, 27370978, 38014807, 91805313, Xelaev18013725m.g, Xelaev18016180m.g, Xelaev18017182m.g, Xelaev18021470m.g","GenBank, Xenbase_9.1","hsph1.L, hsph1.S, hspa4.L, hspa4.S","heat shock 70kDa protein 4 [Xenopus laevis], heat shock 105kD [Xenopus laevis], Hspa4 protein [Xenopus laevis], LOC398863 protein [Xenopus laevis], heat shock protein 110 [Xenopus laevis], NA","P34932, Q92598, O95757","HSPA4, HSPH1, HSPA4L","APG2, HSP105 HSP110 KIAA0201, APG1 OSP94",heat shock,heatr2
Xelaev18027277m.g,Xelaev18027277m.g,13,13,17,5758594.34375,6987912.13671875,6373253.240234375,1.2134753239395948,0.2791447715364825,2,15,4.672698731855301,2.2242560237061393,2.9709028522867564,NA,Xenbase_9.1,mdn1.L,NA,NA,NA,NA,NA,heatr2
ENOG411CSK3,ENOG411CSK3,8,8,17,2535689.109375,6536543.171875,4536116.140625,2.577817267782538,1.3661499998487092,2,15,4.672698731855301,2.2242560237061393,2.9709028522867564,"148227184, 148232561, 27924357, Xelaev18029563m.g, Xelaev18012237m.g, Xelaev18027436m.g, Xelaev18027437m.g","GenBank, Xenbase_9.1","Xelaev18029563m.g, rnpep.L, Xelaev18027436m.g, rnpepl1.L","arginyl aminopeptidase (aminopeptidase B) [Xenopus laevis], LOC398435 protein [Xenopus laevis], NA","Q9HAU8, Q9H4A4","RNPEPL1, RNPEP","NA, APB",arginyl aminopeptidase (aminopeptidase,heatr2
ENOG411CZ5P,ENOG411CZ5P,14,14,29,12508024.19140625,28463428.3828125,20485726.287109375,2.2756134739784524,1.1862555284129972,6,23,3.003877756192693,1.5868261030908473,2.8795161884434854,"148231041, 46250346, Xelaev18022995m.g, Xelaev18010088m.g, Xelaev18025130m.g, Xelaev18006864m.g","GenBank, Xenbase_9.1","pgm1.L, pgm5.S, pgm1.S, pgm5.L","phosphoglucomutase 1 [Xenopus laevis], LOC414455 protein [Xenopus laevis], NA","P36871, Q15124","PGM1, PGM5","NA, PGMRP",Phosphoglucomutase,heatr2
